iter	MultiClass
0	1.069870626
1	1.044675182
2	1.022482785
3	1.002388578
4	0.9845044887
5	0.9683477205
6	0.9540585551
7	0.9411374587
8	0.9295139775
9	0.9190612309
10	0.9093301955
11	0.9007921363
12	0.8930527775
13	0.8856851347
14	0.8790129931
15	0.8731077042
16	0.867551088
17	0.8627494621
18	0.8584043176
19	0.8541643155
20	0.8502715624
21	0.8471268038
22	0.8438773136
23	0.8408855442
24	0.8381746471
25	0.8356569793
26	0.8335588601
27	0.8317693689
28	0.8298378943
29	0.8280303853
30	0.8263574397
31	0.8250644962
32	0.8241538562
33	0.8227999622
34	0.8217731998
35	0.8207867056
36	0.819843542
37	0.818865431
38	0.818004903
39	0.817245639
40	0.8164823764
41	0.8160718002
42	0.8154887598
43	0.8150640739
44	0.8147757975
45	0.8143269478
46	0.813688755
47	0.8131315823
48	0.812663863
49	0.8122375189
50	0.8119496615
51	0.811528398
52	0.8110191661
53	0.8107248518
54	0.8104854166
55	0.8101749218
56	0.8100548715
57	0.8099747183
58	0.8096433435
59	0.8093138186
60	0.8090378077
61	0.8086954889
62	0.8083472488
63	0.8080531093
64	0.8079760233
65	0.8075621325
66	0.807384887
67	0.8071851803
68	0.8070863456
69	0.8069183202
70	0.806629304
71	0.8064646599
72	0.8063846151
73	0.806271607
74	0.8061820233
75	0.8060265355
76	0.8057523592
77	0.8056894097
78	0.8055817455
79	0.8052576206
80	0.8051509703
81	0.8047971926
82	0.8045743032
83	0.8044433356
84	0.8041646951
85	0.8038848006
86	0.8037812297
87	0.8036496217
88	0.8034824855
89	0.8034425253
90	0.8031391295
91	0.8030993767
92	0.8030094992
93	0.8028805949
94	0.802791408
95	0.8025400108
96	0.8023892638
97	0.8023037878
98	0.8021799671
99	0.8019181096
100	0.80178174
101	0.801533091
102	0.8014389549
103	0.8013748688
104	0.801276821
105	0.8011748806
106	0.8010689671
107	0.8008988976
108	0.8007699528
109	0.8006675337
110	0.8005219529
111	0.8005169166
112	0.8002118633
113	0.8000716831
114	0.7999737184
115	0.7996532727
116	0.7994114073
117	0.7993311402
118	0.7992183496
119	0.7990823789
120	0.7990445694
121	0.7989652415
122	0.7988619889
123	0.7988455558
124	0.7988454678
125	0.7987528106
126	0.7986701016
127	0.7985352434
128	0.7985140957
129	0.7984171129
130	0.7984155135
131	0.7983756279
132	0.7982522268
133	0.7981639535
134	0.7980590348
135	0.7979550532
136	0.7977669935
137	0.7975956814
138	0.7975423611
139	0.7974861514
140	0.7974413735
141	0.7973284204
142	0.7971797376
143	0.7970780566
144	0.7967730443
145	0.7966228306
146	0.7964024107
147	0.7963613382
148	0.7962920696
149	0.796186686
150	0.7961725715
151	0.7960928935
152	0.7960309601
153	0.7958864617
154	0.7958276626
155	0.7957129305
156	0.7955402614
157	0.7954127612
158	0.7953399622
159	0.7952336689
160	0.7950545778
161	0.7949469792
162	0.7947987405
163	0.7947461069
164	0.7946805951
165	0.7944127564
166	0.7942638042
167	0.794215758
168	0.7941959579
169	0.79409709
170	0.7940366947
171	0.7938956674
172	0.7936680669
173	0.793561315
174	0.7935080731
175	0.7934126893
176	0.7933957773
177	0.7932071762
178	0.7930281692
179	0.79293997
180	0.792707882
181	0.7925082214
182	0.7923911898
183	0.7923433586
184	0.792281291
185	0.7922549764
186	0.7920857572
187	0.7920316136
188	0.7919887704
189	0.7918694325
190	0.7917670184
191	0.7916842135
192	0.7912838623
193	0.7912466038
194	0.7910426481
195	0.7907634732
196	0.7907212022
197	0.7905794806
198	0.7905208667
199	0.7903668941
200	0.7902027667
201	0.7900604301
202	0.7898996249
203	0.789600214
204	0.7893406056
205	0.7891511784
206	0.7890213586
207	0.7888884786
208	0.7887424833
209	0.7884880004
210	0.7883349621
211	0.7881753621
212	0.7880539224
213	0.7879436967
214	0.7877140744
215	0.7875569566
216	0.7873176501
217	0.7872430654
218	0.78691449
219	0.7866662221
220	0.7866118017
221	0.7864068807
222	0.7863348952
223	0.7862046767
224	0.7860742444
225	0.7859996507
226	0.7856483155
227	0.7855544204
228	0.7853238373
229	0.7851602655
230	0.785027277
231	0.7848522913
232	0.7847150884
233	0.7845870807
234	0.7845161193
235	0.7844062888
236	0.784225023
237	0.784119
238	0.7840189734
239	0.7836961485
240	0.7834958147
241	0.7833356807
242	0.783301682
243	0.7830885929
244	0.7828485074
245	0.7826431792
246	0.7823827429
247	0.7822693765
248	0.7818782069
249	0.7816388548
250	0.7815774574
251	0.7814264524
252	0.7811354003
253	0.7811018085
254	0.7809870697
255	0.7808397899
256	0.7807097817
257	0.7804985238
258	0.7804481136
259	0.7802876598
260	0.7801280174
261	0.7800262686
262	0.7797740865
263	0.7796211292
264	0.7794622349
265	0.7794072797
266	0.7792971231
267	0.7791020344
268	0.7789776743
269	0.7788182214
270	0.7786971468
271	0.7784435554
272	0.7779968393
273	0.77777623
274	0.777669072
275	0.7775913915
276	0.777554525
277	0.7774977998
278	0.7774023203
279	0.7773590506
280	0.7771898753
281	0.7770613695
282	0.7770030898
283	0.7769472229
284	0.7767039939
285	0.7762181854
286	0.7759857598
287	0.7757659314
288	0.7756917103
289	0.7755446111
290	0.7754644615
291	0.775262684
292	0.7751410881
293	0.7749697379
294	0.7747523912
295	0.77459859
296	0.7744816157
297	0.7742439706
298	0.7740080494
299	0.7739031487
300	0.7737389851
301	0.7737026122
302	0.773550638
303	0.7733973346
304	0.7732358897
305	0.773196026
306	0.7730701182
307	0.7726122087
308	0.7722641963
309	0.7721713771
310	0.7720742681
