iter	Passed	Remaining
0	160	320343
1	196	195961
2	230	153730
3	255	127605
4	293	116942
5	330	109684
6	367	104751
7	401	99966
8	436	96603
9	471	93842
10	484	87626
11	498	82532
12	536	82023
13	572	81223
14	608	80533
15	645	80025
16	684	79843
17	702	77335
18	730	76119
19	743	73624
20	777	73308
21	797	71738
22	814	70009
23	849	69908
24	872	68932
25	894	67913
26	929	67922
27	941	66336
28	972	66098
29	1006	66117
30	1043	66289
31	1076	66195
32	1087	64840
33	1122	64885
34	1157	64966
35	1193	65131
36	1228	65168
37	1260	65103
38	1296	65215
39	1338	65605
40	1372	65566
41	1389	64793
42	1439	65501
43	1460	64932
44	1472	63979
45	1508	64077
46	1560	64854
47	1606	65341
48	1653	65816
49	1686	65765
50	1724	65901
51	1764	66084
52	1803	66259
53	1839	66304
54	1874	66298
55	1909	66278
56	1927	65693
57	1933	64734
58	1965	64650
59	2001	64730
60	2065	65668
61	2099	65626
62	2152	66173
63	2187	66161
64	2211	65823
65	2244	65775
66	2279	65778
67	2313	65729
68	2350	65785
69	2386	65789
70	2421	65781
71	2453	65694
72	2489	65709
73	2539	66094
74	2574	66067
75	2608	66042
76	2642	65992
77	2675	65916
78	2706	65811
79	2739	65742
80	2775	65763
81	2810	65747
82	2843	65678
83	2879	65679
84	2913	65644
85	2947	65592
86	2980	65543
87	3019	65613
88	3054	65588
89	3078	65329
90	3113	65308
91	3146	65264
92	3181	65229
93	3214	65169
94	3245	65079
95	3281	65081
96	3316	65062
97	3351	65044
98	3387	65038
99	3423	65045
100	3457	65006
101	3493	65013
102	3529	65010
103	3563	64970
104	3596	64912
105	3632	64899
106	3664	64838
107	3699	64805
108	3731	64739
109	3774	64858
110	3814	64917
111	3826	64501
112	3860	64472
113	3896	64461
114	3930	64423
115	3966	64425
116	4001	64407
117	4037	64390
118	4074	64398
119	4109	64386
120	4144	64355
121	4179	64335
122	4218	64368
123	4231	64019
124	4250	63758
125	4284	63726
126	4325	63794
127	4375	63985
128	4394	63730
129	4430	63736
130	4442	63380
131	4476	63347
132	4511	63326
133	4548	63338
134	4586	63360
135	4623	63373
136	4661	63384
137	4702	63444
138	4736	63412
139	4770	63384
140	4784	63084
141	4820	63077
142	4856	63061
143	4890	63039
144	4927	63039
145	4980	63245
