iter	Passed	Remaining
0	39	39257
1	77	38670
2	119	39637
3	153	38280
4	193	38593
5	233	38710
6	260	36951
7	298	37068
8	338	37269
9	392	38876
10	423	38117
11	449	36976
12	478	36335
13	516	36394
14	556	36527
15	596	36692
16	610	35299
17	651	35526
18	699	36093
19	737	36143
20	765	35684
21	803	35740
22	849	36101
23	907	36924
24	950	37080
25	995	37302
26	1027	37020
27	1054	36599
28	1107	37078
29	1148	37121
30	1188	37155
31	1232	37273
32	1247	36563
33	1288	36606
34	1340	36960
35	1383	37048
36	1402	36511
37	1441	36485
38	1479	36465
39	1524	36590
40	1575	36858
41	1603	36567
42	1617	35993
43	1643	35706
44	1683	35738
45	1712	35522
46	1757	35631
47	1777	35258
48	1819	35320
49	1859	35338
50	1901	35374
51	1923	35075
52	1965	35111
53	2012	35261
54	2055	35314
55	2097	35365
56	2142	35444
57	2171	35273
58	2213	35295
59	2252	35289
60	2295	35329
61	2334	35318
62	2349	34937
63	2381	34831
64	2422	34842
65	2462	34848
66	2512	34992
67	2552	34980
68	2594	35009
69	2634	35000
70	2664	34868
71	2703	34846
72	2743	34837
73	2785	34853
74	2803	34579
75	2822	34316
76	2861	34299
77	2875	33994
78	2897	33778
79	2916	33537
80	2953	33505
81	3007	33668
82	3050	33706
83	3070	33486
84	3110	33478
85	3148	33466
86	3206	33650
87	3221	33383
88	3262	33398
89	3304	33415
90	3349	33460
91	3407	33634
92	3449	33644
93	3471	33462
94	3509	33435
95	3560	33525
96	3610	33610
97	3669	33773
98	3715	33811
99	3764	33877
100	3810	33919
101	3854	33937
102	3896	33936
103	3938	33933
104	3979	33921
105	4026	33956
106	4065	33928
107	4105	33910
108	4147	33899
109	4155	33624
110	4192	33575
111	4239	33611
112	4282	33616
113	4324	33607
114	4379	33705
115	4424	33714
116	4463	33688
117	4504	33668
118	4545	33649
119	4587	33638
120	4626	33609
121	4667	33587
122	4708	33574
123	4750	33559
124	4790	33535
125	4830	33505
126	4871	33485
127	4912	33469
128	4953	33448
129	5026	33636
130	5066	33608
131	5107	33582
132	5147	33554
133	5188	33531
134	5228	33498
135	5268	33473
136	5308	33439
137	5348	33407
138	5389	33383
139	5429	33351
140	5468	33316
141	5501	33244
142	5542	33217
143	5581	33179
144	5617	33121
145	5642	33001
146	5680	32965
147	5700	32817
148	5737	32771
149	5779	32750
150	5824	32748
151	5866	32729
152	5919	32772
153	5959	32740
154	6006	32745
155	6045	32705
156	6085	32676
157	6125	32641
158	6167	32621
159	6206	32582
160	6247	32554
161	6285	32512
162	6325	32481
163	6366	32455
164	6410	32439
165	6450	32408
166	6490	32374
167	6531	32345
168	6584	32379
169	6624	32342
170	6663	32306
171	6702	32267
172	6775	32387
173	6814	32351
174	6856	32325
175	6896	32289
176	6936	32254
177	6982	32247
178	7028	32234
179	7097	32331
180	7137	32296
181	7179	32268
182	7220	32237
183	7262	32209
184	7315	32225
185	7359	32206
186	7400	32174
187	7443	32147
188	7484	32114
189	7525	32081
190	7568	32056
191	7612	32037
192	7654	32006
193	7696	31974
194	7745	31976
195	7786	31939
196	7829	31912
197	7873	31890
198	7914	31856
199	7956	31824
200	8002	31811
201	8046	31786
202	8088	31756
203	8135	31742
204	8183	31734
205	8226	31708
206	8265	31662
207	8287	31556
208	8328	31519
209	8355	31431
210	8398	31405
211	8439	31369
212	8477	31322
213	8523	31304
214	8567	31282
215	8611	31254
216	8653	31224
217	8694	31188
218	8735	31152
219	8793	31175
220	8844	31176
221	8883	31133
222	8924	31096
223	8974	31091
224	9019	31066
225	9092	31141
226	9133	31102
227	9171	31055
228	9211	31014
229	9254	30980
230	9311	30998
231	9355	30969
232	9393	30922
233	9434	30883
234	9475	30846
235	9521	30823
236	9561	30781
237	9600	30739
238	9643	30707
239	9665	30608
240	9707	30572
241	9746	30529
242	9778	30462
243	9817	30419
244	9860	30385
245	9901	30348
246	9916	30231
247	9959	30198
248	10007	30183
249	10048	30145
250	10104	30151
251	10151	30132
252	10194	30098
253	10239	30074
254	10274	30017
255	10315	29980
256	10354	29934
257	10397	29902
258	10439	29867
259	10480	29830
260	10517	29778
261	10556	29735
262	10595	29691
263	10634	29647
264	10672	29602
265	10710	29554
266	10749	29510
267	10780	29444
268	10818	29397
269	10854	29347
270	10892	29301
271	10932	29261
272	10977	29232
273	11026	29217
274	11067	29176
275	11106	29135
276	11145	29091
277	11196	29079
278	11236	29037
279	11277	29000
280	11317	28959
281	11355	28912
282	11396	28873
283	11436	28831
284	11491	28829
285	11530	28786
286	11569	28743
287	11609	28701
288	11648	28658
289	11687	28613
290	11726	28570
291	11773	28545
292	11813	28504
293	11852	28462
294	11891	28418
295	11929	28371
296	11970	28334
297	12009	28291
298	12047	28244
299	12084	28198
300	12123	28154
301	12161	28109
302	12199	28062
303	12238	28018
304	12275	27971
305	12288	27870
306	12325	27822
307	12367	27787
308	12404	27740
309	12441	27693
310	12482	27653
311	12521	27612
312	12560	27569
313	12599	27527
314	12647	27502
315	12695	27480
316	12736	27441
317	12780	27409
318	12821	27371
319	12861	27330
320	12881	27247
321	12925	27214
322	12981	27209
323	13021	27167
324	13062	27130
325	13108	27102
326	13149	27063
327	13189	27022
328	13229	26981
329	13270	26942
330	13329	26940
331	13369	26900
332	13408	26858
333	13448	26816
334	13485	26769
335	13524	26726
336	13565	26687
337	13604	26646
338	13642	26601
339	13682	26559
340	13720	26514
341	13760	26475
342	13803	26440
343	13841	26396
344	13881	26353
345	13924	26320
346	13972	26293
347	14016	26259
348	14062	26230
349	14101	26188
350	14141	26147
351	14183	26110
352	14223	26068
353	14264	26030
354	14303	25987
355	14343	25947
356	14383	25906
357	14424	25866
358	14464	25825
359	14520	25814
360	14560	25772
361	14601	25734
362	14644	25699
363	14683	25655
364	14723	25614
365	14764	25576
366	14802	25531
367	14847	25499
368	14887	25458
369	14928	25419
370	14971	25383
371	15014	25347
372	15053	25304
373	15106	25284
374	15146	25244
375	15186	25202
376	15225	25160
377	15265	25119
378	15305	25077
379	15361	25063
380	15400	25020
381	15440	24978
382	15479	24936
383	15518	24894
384	15557	24851
385	15598	24812
386	15639	24772
387	15678	24729
388	15719	24690
389	15766	24659
390	15805	24618
391	15846	24577
392	15886	24537
393	15927	24497
394	15981	24478
395	16022	24438
396	16063	24399
397	16102	24355
398	16151	24328
399	16192	24288
400	16232	24248
401	16274	24209
402	16334	24197
403	16375	24157
404	16431	24139
405	16471	24098
406	16513	24059
407	16554	24020
408	16594	23979
409	16632	23934
410	16672	23893
411	16713	23853
