iter	MultiClass
0	1.08184043
1	1.065994272
2	1.051445877
3	1.037704552
4	1.025072493
5	1.01314025
6	1.001827817
7	0.9914148101
8	0.9817114336
9	0.972452573
10	0.9638592236
11	0.955698645
12	0.9480415419
13	0.9408278065
14	0.9340035613
15	0.9279953574
16	0.9219352938
17	0.9161450102
18	0.9107373403
19	0.9056271921
20	0.9007818809
21	0.8962913805
22	0.8920476928
23	0.8879859886
24	0.8842176462
25	0.8806762405
26	0.8773202596
27	0.8741544662
28	0.8710358145
29	0.8680930486
30	0.8654140696
31	0.8628695907
32	0.8606581861
33	0.8583568722
34	0.8563330534
35	0.8543579967
36	0.8524046427
37	0.8505709453
38	0.8486827727
39	0.8472322054
40	0.8456769844
41	0.8440437409
42	0.8424941217
43	0.8412916936
44	0.839893185
45	0.838583557
46	0.8373428403
47	0.8361609228
48	0.8350451044
49	0.8339872556
50	0.8329842919
51	0.832030825
52	0.8312240765
53	0.8303731446
54	0.8295080028
55	0.8288365559
56	0.8277994148
57	0.8270730492
58	0.8263870509
59	0.8257728757
60	0.8251208852
61	0.8247568683
62	0.8242033827
63	0.8236003702
64	0.8229258948
65	0.8224272354
66	0.8217049996
67	0.8210926766
68	0.8206096124
69	0.8203771274
70	0.8201582343
71	0.8197559158
72	0.8193237649
73	0.8190141695
74	0.8185589415
75	0.81822536
76	0.8178712689
77	0.8175610091
78	0.8173278188
79	0.8169003648
80	0.8167444038
81	0.8164713259
82	0.8160979196
83	0.8157211368
84	0.8153853157
85	0.8149560216
86	0.8146620131
87	0.8144715323
88	0.8142155079
89	0.8141420364
90	0.8140137385
91	0.8137464749
92	0.8136387713
93	0.8135315912
94	0.8134738
95	0.813245951
96	0.8130371249
97	0.8128725771
98	0.8125704577
99	0.8125289189
100	0.8122445724
101	0.8121389376
102	0.8118976005
103	0.8117522125
104	0.8114805067
105	0.8112455811
106	0.8111308284
107	0.8109208944
108	0.8107350583
109	0.8106965478
110	0.8105315532
111	0.8103570625
112	0.8102995818
113	0.8099704906
114	0.8097878585
115	0.8095911166
116	0.8094629486
117	0.8093039345
118	0.809228483
119	0.8090194704
120	0.8090000734
121	0.8089798602
122	0.8089044598
123	0.8087694972
124	0.8086551924
125	0.8084016068
126	0.8082619329
127	0.8080304121
128	0.8079606535
129	0.807873648
130	0.8073782625
131	0.8072683692
132	0.8071934277
133	0.8070111626
134	0.806853522
135	0.806601867
136	0.8063703218
137	0.8062013339
138	0.8060922234
139	0.8058059801
140	0.8057865311
141	0.8055892544
142	0.8054883588
143	0.8052209471
144	0.8050978998
145	0.8050416407
146	0.8048714336
147	0.8046842106
148	0.8046589071
149	0.804545877
150	0.8044707362
151	0.8043644925
152	0.8042687247
153	0.8042304258
154	0.8040645732
155	0.8039980471
156	0.8038220701
157	0.803682324
158	0.8033054013
159	0.8032755591
160	0.8031824301
161	0.8030790971
162	0.8029539516
163	0.8028461796
164	0.8026308671
165	0.8024612726
166	0.802311302
167	0.8022910774
168	0.8021456269
169	0.8020580663
170	0.8019436086
171	0.8018468324
172	0.8017890117
173	0.801702379
174	0.8015798136
175	0.8015232321
176	0.8013331982
177	0.8012188564
178	0.801148514
179	0.8010190654
180	0.8009148108
181	0.8007456389
182	0.8004985957
183	0.8003343806
184	0.8001033739
185	0.7997666105
186	0.7996462881
187	0.7995979116
188	0.7994463344
189	0.7993712558
190	0.7993598008
191	0.7992683387
192	0.7991736767
193	0.7989992865
194	0.7989652239
195	0.7988879012
196	0.7987805968
197	0.7987122213
198	0.7986913629
199	0.7986339569
200	0.7985069181
201	0.7982700942
202	0.798169311
203	0.7980653941
204	0.7980650734
205	0.7978029807
206	0.797662962
207	0.7976252573
208	0.7974542299
209	0.7973380381
210	0.79708869
211	0.7969791901
212	0.796922516
213	0.79672269
214	0.7967226448
215	0.7966454478
216	0.796595443
217	0.796357867
218	0.7962949504
219	0.7962673887
220	0.7960002912
221	0.7959421738
222	0.7958597471
223	0.7957590404
224	0.7956782846
225	0.7955273978
226	0.7954900607
227	0.7954095312
228	0.7952264045
229	0.7950667981
230	0.7950040151
231	0.7948288221
232	0.7947102806
233	0.7945804969
234	0.7945103459
235	0.7943728026
236	0.7941750524
237	0.7941600958
238	0.7939460807
239	0.7937391086
240	0.7933684641
241	0.7930995268
242	0.7929011256
243	0.7927237028
244	0.7926533899
245	0.7925209516
246	0.792460061
247	0.792364101
248	0.7920708154
249	0.7919876273
250	0.7919374739
251	0.7917451351
252	0.7914388301
253	0.7913765399
254	0.7912385138
255	0.7911712552
256	0.7909483902
257	0.7908441688
258	0.7906398421
259	0.7905650916
260	0.7904701212
261	0.7901917487
262	0.7901101706
263	0.7899409353
264	0.7897930542
265	0.7897012813
266	0.7896365316
267	0.789581283
268	0.7895130367
269	0.7893006156
270	0.7891887158
271	0.7890791391
272	0.7890248317
273	0.7890037885
274	0.7888545344
275	0.7887989731
276	0.7887072351
277	0.7886737252
278	0.7885706798
279	0.7884859414
280	0.788363512
281	0.7882045737
282	0.7881431883
283	0.7880401301
284	0.7879614484
285	0.7878686898
286	0.7877950705
287	0.7877222198
288	0.7876032324
289	0.7874763794
290	0.7873936307
291	0.7873418051
292	0.7871035188
293	0.7870394369
294	0.7869593141
295	0.7869297447
296	0.7867562357
297	0.7866354624
298	0.7864102947
299	0.7862878213
300	0.7862613198
301	0.7862147215
302	0.7860959362
303	0.7860621541
304	0.7859588706
305	0.7858735848
306	0.7857318567
307	0.7855225754
308	0.7853965692
309	0.7853298368
310	0.785212553
311	0.7851569078
312	0.7850834466
313	0.7849001559
314	0.7848417651
315	0.7847533278
316	0.7846760201
317	0.784450005
318	0.7843092284
319	0.7841555625
320	0.7840207992
321	0.7837497776
322	0.7837205529
323	0.7835808099
324	0.7834916641
325	0.7833900206
326	0.7832346899
327	0.7830343394
328	0.7829305338
329	0.7827256854
330	0.7825990165
331	0.7824333024
332	0.7823139178
333	0.7822464168
334	0.7821125444
335	0.781988777
336	0.7817605562
337	0.7816755102
338	0.781444678
339	0.7812203633
340	0.7810715262
341	0.7809601647
342	0.780564655
343	0.7804636536
344	0.7803375551
345	0.7803046305
346	0.7802681357
347	0.7800892836
348	0.7799970385
349	0.7798338009
350	0.7796178952
351	0.7795216325
352	0.7793074398
353	0.7791081924
354	0.7788304011
355	0.778793962
356	0.778748585
357	0.7786820384
358	0.7786311403
359	0.7785136321
360	0.7783733689
361	0.7782759643
362	0.7782258742
363	0.7781747317
364	0.7780927552
365	0.7777171893
366	0.7776117763
367	0.7775053107
368	0.7773751376
369	0.7773251844
370	0.7773106856
371	0.7772156773
372	0.7770518771
373	0.7769914493
374	0.7769009474
375	0.7768307527
376	0.77663113
377	0.7764382154
378	0.7764045517
379	0.7763483683
380	0.7760276943
381	0.7758838169
382	0.7758485699
383	0.775663373
384	0.7755554173
385	0.7753802417
386	0.7753152296
387	0.7751744836
388	0.7751256213
389	0.774866734
390	0.7746256647
391	0.774539605
392	0.7742957537
